track_id,artists,tracks,artist_id,track_popularity,track_url
49NiBykpqF9sqSXnXR9qV9,1200 Micrograms,Ayahuasca - Original Mix,2opB8qXyAmLYSGEZxp7X3U,27.0,https://p.scdn.co/mp3-preview/4472462fc443a50b6f4d7f6f7474ab3ebc09da30?cid=72c9f2b9d3344c91af50a24f4144228f
5fwwHcpISgKv0ehPfsCeOS,1200 Micrograms,Magic Mushrooms - Original Mix,2opB8qXyAmLYSGEZxp7X3U,23.0,https://p.scdn.co/mp3-preview/ec6a9cd21a0b9755e9c2119bf61d588f5b3d5dfe?cid=72c9f2b9d3344c91af50a24f4144228f
1DDRdAGahMxVa5hqN6agOk,1200 Micrograms,Mescaline - Astrix Remix,2opB8qXyAmLYSGEZxp7X3U,20.0,https://p.scdn.co/mp3-preview/97fbba9741d5f27d36c939139a650e1d61435388?cid=72c9f2b9d3344c91af50a24f4144228f
6vD9TkHRdxH5fpGxmAjnIO,1200 Micrograms,Salvia Divinorum - Original Mix,2opB8qXyAmLYSGEZxp7X3U,19.0,https://p.scdn.co/mp3-preview/33b71c6c995b544ad463e7a74a7a0eb4975c9bd9?cid=72c9f2b9d3344c91af50a24f4144228f
685JFuMdEEinDVrVvPPmog,12th Planet,Hide It All - Bailo & Bite Me Remix,3V1h3kAdiVDBiwlY2i6dJz,32.0,https://p.scdn.co/mp3-preview/e17e907e8847b3a27552720eaef709477f3cc411?cid=72c9f2b9d3344c91af50a24f4144228f
35Qf9mP6LoopjOVwgPAKoY,12th Planet,Swamplex Terrestrial,3V1h3kAdiVDBiwlY2i6dJz,26.0,https://p.scdn.co/mp3-preview/bfe1fffd4835013728357e1958ff1e512c2ad5a1?cid=72c9f2b9d3344c91af50a24f4144228f
2A7C2pIp1N0sgOi0aM6z3g,12th Planet,Let It Bang,3V1h3kAdiVDBiwlY2i6dJz,20.0,https://p.scdn.co/mp3-preview/5cb107204eaa46ec6101e2d47d635c143e39fa89?cid=72c9f2b9d3344c91af50a24f4144228f
1HJW2w61lh3XcsnfnOR9p4,12th Planet,Follow,3V1h3kAdiVDBiwlY2i6dJz,40.0,https://p.scdn.co/mp3-preview/ef07dc598b117870f027d50d635d6ee99961f848?cid=72c9f2b9d3344c91af50a24f4144228f
5TMYoiWElQzD4UsTvtX8kx,12th Planet,Let Us Prey,3V1h3kAdiVDBiwlY2i6dJz,15.0,https://p.scdn.co/mp3-preview/15a9234eff6e1126bed600418e8e88e0f62d3b2c?cid=72c9f2b9d3344c91af50a24f4144228f
5Yu2XAETE0p1dLzbgoX3WN,12th Planet,Supernova,3V1h3kAdiVDBiwlY2i6dJz,24.0,https://p.scdn.co/mp3-preview/a492095a74937ed70307a86962abd5d12a7119d6?cid=72c9f2b9d3344c91af50a24f4144228f
3h8qGav0CXwYxQdio24Q1U,12th Planet,No Other,3V1h3kAdiVDBiwlY2i6dJz,15.0,https://p.scdn.co/mp3-preview/39aaee4f173e063fbb20500dae68063e40ddbd3b?cid=72c9f2b9d3344c91af50a24f4144228f
1mZmjuLoslfYSEOXojo8BS,16 Horsepower,Black Soul Choir,188gwh9RnRT58ZQPwqwHE3,33.0,
6TdOOA2PBxP8jKO0p9Elc9,16 Horsepower,American Wheeze,188gwh9RnRT58ZQPwqwHE3,33.0,https://p.scdn.co/mp3-preview/a58993d86f104f207c722c7381b02b98321ff0b4?cid=72c9f2b9d3344c91af50a24f4144228f
4hFUodlSK6gjLoz1US6snk,16 Horsepower,I Seen What I Saw,188gwh9RnRT58ZQPwqwHE3,25.0,
,16 Horsepower,Hutterite Mile,,,
7My5DIityXisMnm7PRfrTt,16 Horsepower,Haw,188gwh9RnRT58ZQPwqwHE3,22.0,
7esMcjyZVhZfFyv7VYxVA6,16 Horsepower,Scrawled In Sap,188gwh9RnRT58ZQPwqwHE3,19.0,
1nzQhAyJBeWmR75nGcrbKG,16 Horsepower,Brimstone Rock,188gwh9RnRT58ZQPwqwHE3,28.0,
